1 Time,1 Position,2 Position,3 Position,4 Position,5 Position,6 Position,7: Position,8 Position,9 Position,10 Position,11 Position,12 Position
1.15,-0.027099996805191,0.01460000872612,-0.0377999842166901,-0.0472000241279602,-0.0701000094413757,-0.0597000122070313,0.0370999872684479,0.0221999883651733,0.0429999828338623,-0.0462000072002411,-0.00180000066757202,-0.0250000059604645
1.2,-0.0394999980926514,-0.00279998779296875,-0.0464999973773956,-0.0638000071048737,-0.0680000185966492,-0.0670000016689301,0.0429999828338623,0.0322999954223633,0.0471999943256378,-0.0427000224590302,-0.0191000103950501,-0.037200003862381
1.25,-0.0446999967098236,-0.0183999836444855,-0.0464999973773956,-0.0670000016689301,-0.0548000037670136,-0.0670000016689301,0.0471999943256378,0.0388999879360199,0.0471999943256378,-0.0340000092983246,-0.0340000092983246,-0.0451000034809113
1.3,-0.0464999973773956,-0.0349999964237213,-0.0446999967098236,-0.067300021648407,-0.0392000079154968,-0.065200001001358,0.04789999127388,0.0444000065326691,0.0444000065326691,-0.0209000110626221,-0.0434000194072723,-0.0472000241279602
1.35,-0.0398999750614166,-0.0422999858856201,-0.0363999903202057,-0.057200014591217,-0.0142000019550323,-0.0482000112533569,0.0451000034809113,0.0453999936580658,0.0384999811649323,-0.00460001826286316,-0.0482999980449677,-0.0424000024795532
1.4,-0.0301999747753143,-0.0464999973773956,-0.0214999914169312,-0.0389000177383423,0.00869998335838318,-0.0263999998569489,0.0395999848842621,0.0440999865531921,0.0294999778270721,0.0137999951839447,-0.0462000072002411,-0.0330000221729279
1.45,-0.0145999789237976,-0.0446999967098236,-0.00449997186660767,-0.0142000019550323,0.0353999733924866,-0.000700026750564575,0.0304999947547913,0.0391999781131744,0.0197999775409699,0.0291000008583069,-0.0389000177383423,-0.0174000263214111
1.5,0.00100001692771912,-0.0381999909877777,0.012800008058548,0.0117999911308289,0.0488999783992767,0.0259999930858612,0.0205000042915344,0.0318999886512756,0.0072999894618988,0.0380999743938446,-0.0254000127315521,-0.000699996948242188
1.55,0.0180000066757202,-0.0245999991893768,0.0295000076293945,0.0367999970912933,0.0651999711990356,0.0464999973773956,0.00830000638961792,0.0214999914169312,-0.00450000166893005,0.0449999868869782,-0.0098000168800354,0.0158999860286713
1.6,0.031900018453598,-0.00899997353553772,0.0413000285625458,0.0564999878406525,0.0672999918460846,0.0644999742507935,-0.00420001149177551,0.0110999941825867,-0.0170000195503235,0.0453999936580658,0.00929999351501465,0.0328999757766724
